,_id,device_id,latitude,longitude,type,SO2,CO,NO2,PM1_0,PM2_5,PM10_0,temperature,humidity,per_bat,free_sd,cnt_err_wifi,cnt_err_lte,cnt_err_sd,cnt_packet,time,AQI
430,61acd561ebbcef4cfbd55516,fimi_1,21.005772949999997,105.84429183333332,fimi,0.2908,49.3638,-0.4556,25.7,26.9,31.7,27.3,49.9,54.42,15296864,51727,526,0,,2021-12-05 22:06:06,81.83760969391494
431,61ab67cb0facef69219ad65e,fimi_14,21.005801350000002,105.84428035,fimi,0.3979,6.7372,-0.5383,32.6,33.9,38.4,25.8,50.6,88.19,0,642,6,1926,,2021-12-04 20:06:06,
432,6163016254811a28701378db,fimi_30,21.005815516666665,105.84423166666666,fimi,0.016,-1.9205,-0.4277,13.6,14.5,15.1,27.7,74.3,84.09,15406144,9049,1660,0,,2021-10-10 22:06:06,
433,61a33871917519c430911eaf,fimi_6,21.005820133333334,105.84431281666666,fimi,-0.0038,-2.7444,-0.4579,9.5,10.5,15.3,30.2,48.2,83.37,15356672,148,3,0,,2021-11-28 15:06:06,
434,61701440e66c30339e5b882f,fimi_14,21.0058133,105.84430108333332,fimi,0.0518,-2.0481,-0.5428,19.5,20.7,22.2,31.4,68.2,84.01,0,147349,21405,442049,,2021-10-20 20:06:06,
435,6180ab2120be12f18c8ff969,fimi_30,21.005798600000002,105.84428031666667,fimi,0.1094,-0.4582,-0.4277,15.1,16.4,17.9,27.2,67.5,82.63,15362656,5465,46,0,,2021-11-02 10:06:06,
436,619d03644f9bf42b7c57bdee,fimi_23,21.005694450000004,105.84380555000001,fimi,0.0754,-3.8818,-0.5048,14.9,16.1,21.2,26.5,46.9,32.82,15402176,51096,1498,0,,2021-11-23 22:06:06,
437,61a24962a515430fcc121d55,fimi_29,21.005779399999998,105.84427714999998,fimi,0.118,-0.934,-0.5048,25.3,26.6,30.2,26.3,55.9,28.18,15348480,159,3,0,,2021-11-27 22:06:06,
438,61ae18d19d066a7099459659,fimi_1,21.005805766666672,105.84429558333335,fimi,0.097,43.271,-0.4556,24.1,25.5,30.6,26.8,46.3,53.58,15294880,57244,566,0,,2021-12-06 21:06:06,78.8461571729127
439,61844b4620be12f18c965857,fimi_14,21.005792116666665,105.84429795,fimi,-0.0083,-2.756,-0.5428,31.7,32.8,33.1,28.4,78.0,82.61,0,385,8,1156,,2021-11-05 04:06:06,
440,61a73bac59ad21891788254f,fimi_21,21.005694450000004,105.84380555000001,fimi,0.4684,-4.5085,-0.4456,6.7,7.6,13.5,28.8,42.0,70.0,15445888,22820,388,0,,2021-12-01 16:06:39,
441,6198c8925d2493cc8868834b,fimi_1,21.005815,105.84432716666667,fimi,0.0477,43.9209,-0.4556,16.5,17.7,20.8,32.0,60.0,85.22,15328416,31464,1171,0,,2021-11-20 17:06:06,
442,6180e36620be12f18c9090ff,fimi_1,21.005812883333338,105.84427740000001,fimi,0.0863,44.6637,-0.4556,16.1,16.9,19.7,29.6,64.0,86.08,15359616,18495,337,0,,2021-11-02 14:06:06,
443,619dac23aedb2c79fb8f5da8,fimi_1,21.005804216666668,105.84429436666666,fimi,-0.0192,41.7855,-0.4568,10.2,11.5,16.1,26.1,49.3,83.72,15320672,52813,1398,0,,2021-11-24 10:06:06,
444,61a008d6485fd76debf782fe,fimi_20,21.00578828333333,105.84425308333333,fimi,0.0513,-189.9048,-0.4825,26.3,27.7,29.8,23.1,64.4,83.26,15333248,25709,237,1,,2021-11-26 05:06:06,
445,61abd8470facef69219bf4b8,fimi_29,21.005805000000002,105.84431109999998,fimi,0.0967,-1.8856,-0.5037,61.0,62.5,65.6,23.1,61.9,27.92,15334752,704,1,0,,2021-12-05 04:06:06,
446,61aeebc69d066a709947b5b7,fimi_14,21.005849283333337,105.8443029,fimi,0.0079,-2.7212,-0.5394,32.6,34.0,40.0,33.3,43.1,85.76,0,207,7,622,,2021-12-07 12:06:06,97.00854747899776
