,_id,temperature,humidity,CO,CO2,NO2,O3,SO2,er_init_sensor,er_read_sensor,er_out_of_range,er_system,type,device_id,sampling_interval,PM2_5,PM10_0,time
94,6168016754811a2870236be2,22.72,84.82,0.361,470.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,8.0,8.0,2021-10-14 10:07:31
95,6183b10e20be12f18c9482e5,31.94,61.03,0.639,438.0,0.0,0.001,0.005,0,0,0,0,envitus,70B3D509805D,60,27.0,29.0,2021-11-04 10:08:11
96,6180570220be12f18c8f16ad,22.68,87.67,0.316,510.0,0.0,0.002,0.002,0,0,0,0,envitus,70B3D509805D,60,29.0,33.0,2021-11-01 21:07:11
97,616ace74074ea276ed70dafc,20.29,89.22,0.256,488.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,5.0,5.0,2021-10-16 13:06:57
98,6182b3e720be12f18c93ea71,25.35,85.03,0.296,487.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,46.0,57.0,2021-11-03 16:08:05
99,617f058c20be12f18c8b5c62,21.94,89.75,0.247,505.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,21.0,22.0,2021-10-31 21:07:21
100,6162c98954811a287012dbd7,24.66,92.82,0.321,467.0,0.0,0.004,0.002,0,0,0,0,envitus,70B3D509805D,60,8.0,9.0,2021-10-10 11:07:50
101,61727f48e66c30339e62d183,22.15,61.04,0.452,457.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,14.0,15.0,2021-10-22 09:07:16
102,6165c0ec54811a28701c493e,25.15,64.48,0.104,465.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,17.0,18.0,2021-10-12 17:07:52
103,6182c1f420be12f18c93f065,25.19,85.6,0.189,487.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,45.0,57.0,2021-11-03 17:08:01
104,61869a5120be12f18c9e2927,27.0,84.52,0.315,438.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,45.0,56.0,2021-11-06 15:07:57
105,616fc04be66c30339e5a9d6d,33.73,59.34,0.125,443.0,0.0,0.001,0.0,0,0,0,0,envitus,70B3D509805D,60,20.0,22.0,2021-10-20 07:07:52
106,6171e4bee66c30339e60dc93,21.77,70.35,0.138,473.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,9.0,9.0,2021-10-21 22:07:56
107,616e1a56e66c30339e55eb26,21.94,87.57,0.873,501.0,0.0,0.003,0.004,0,0,0,0,envitus,70B3D509805D,60,26.0,28.0,2021-10-19 01:07:31
108,6166235e54811a28701d76ec,25.3,66.96,0.294,468.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,16.0,17.0,2021-10-13 00:07:55
109,6172b778e66c30339e63ced1,21.16,61.52,0.424,465.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,47.0,56.0,2021-10-22 13:07:01
110,616fce36e66c30339e5ac3e6,33.82,58.73,0.148,442.0,0.0,0.002,0.0,0,0,0,0,envitus,70B3D509805D,60,23.0,24.0,2021-10-20 08:07:15
111,617d359920be12f18c85f663,21.25,85.35,0.475,481.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,9.0,9.0,2021-10-30 12:07:50
112,616596c454811a28701bb896,25.5,63.44,0.371,462.0,0.0,0.002,0.001,0,0,0,0,envitus,70B3D509805D,60,19.0,20.0,2021-10-12 14:08:00
113,617ecd5520be12f18c8ab8d6,22.3,89.11,0.352,503.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,22.0,24.0,2021-10-31 17:07:29
114,6168e25954811a2870261fff,22.11,92.96,0.702,489.0,0.0,0.003,0.003,0,0,0,0,envitus,70B3D509805D,60,10.0,10.0,2021-10-15 02:07:18
115,616e8ab5e66c30339e57287f,26.67,76.04,0.702,469.0,0.0,0.002,0.002,0,0,0,0,envitus,70B3D509805D,60,42.0,50.0,2021-10-19 09:06:57
116,616da9b6e66c30339e54c18d,20.91,89.86,0.281,492.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,21.0,22.0,2021-10-18 17:06:59
117,6175bcf3e66c30339e714c69,22.18,79.47,0.511,487.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,84.0,88.0,2021-10-24 20:07:12
118,6185d56020be12f18c9b6573,27.31,83.5,0.423,450.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,46.0,57.0,2021-11-06 01:07:29
119,616d09ffe66c30339e531783,20.04,89.92,0.307,484.0,0.0,0.004,0.0,0,0,0,0,envitus,70B3D509805D,60,10.0,11.0,2021-10-18 05:45:31
120,617e087a20be12f18c8881b6,22.49,83.41,0.599,498.0,0.0,0.002,0.002,0,0,0,0,envitus,70B3D509805D,60,40.0,50.0,2021-10-31 03:07:34
121,6165262254811a28701a319e,29.14,56.04,0.113,453.0,0.0,0.0,0.001,0,0,0,0,envitus,70B3D509805D,60,11.0,11.0,2021-10-12 06:07:26
122,61629f5f54811a287012622e,24.92,91.65,0.22,461.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,12.0,12.0,2021-10-10 08:07:56
123,616fea77e66c30339e5b128f,32.87,63.43,0.357,443.0,0.0,0.001,0.001,0,0,0,0,envitus,70B3D509805D,60,27.0,28.0,2021-10-20 10:07:48
124,616863d654811a287024a76e,22.27,89.59,0.329,479.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,26.0,30.0,2021-10-14 17:07:30
125,618010cf20be12f18c8e5979,23.54,83.49,0.598,514.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,24.0,24.0,2021-11-01 16:07:39
126,616c9e8c9d4daad11f45eed6,18.84,89.72,0.117,485.0,0.0,0.003,0.0,0,0,0,0,envitus,70B3D509805D,60,11.0,12.0,2021-10-17 22:07:05
127,6165eb0f54811a28701cca81,25.42,67.01,0.143,468.0,0.0,0.003,0.002,0,0,0,0,envitus,70B3D509805D,60,24.0,27.0,2021-10-12 20:07:40
128,617022b0e66c30339e5bb177,27.46,81.63,0.292,462.0,0.0,0.004,0.001,0,0,0,0,envitus,70B3D509805D,60,38.0,46.0,2021-10-20 14:07:41
129,6166154c54811a28701d4bd3,24.74,69.41,0.273,475.0,0.0,0.002,0.0,0,0,0,0,envitus,70B3D509805D,60,32.0,38.0,2021-10-12 23:07:53
130,6169c37654811a287028c153,21.96,92.82,0.087,485.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,9.0,9.0,2021-10-15 18:07:46
131,616d63a7e66c30339e54030d,20.68,89.56,1.142,501.0,0.0,0.003,0.005,0,0,0,0,envitus,70B3D509805D,60,17.0,18.0,2021-10-18 12:08:05
132,616693ea54811a28701ee1ee,24.8,83.22,0.57,459.0,0.0,0.003,0.001,0,0,0,0,envitus,70B3D509805D,60,33.0,38.0,2021-10-13 08:08:07
